4531 / 10000,,3293 / 10000,,5092 / 10000,,4862 / 10000,,7370 / 10000,,6886 / 10000,,5472 / 10000,,5712 / 10000,,4871 / 10000,,7267 / 10000,,4819 / 10000,,9220 / 10000,,8704 / 10000,,9679 / 10000,,5078 / 10000,,9479 / 10000,,9703 / 10000,,9730 / 10000,,2933 / 10000,,8449 / 10000,,9540 / 10000,,9614 / 10000,,9087 / 10000,,8532 / 10000,,9576 / 10000,,9633 / 10000,,6459 / 10000,,8048 / 10000,,,
Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,Cost,Accuracy,,
0.06226214604633922,4632,0.0725736617420956,3605,0.07065775633480835,4925,0.0652297688508032,4854,0.036359101347682665,7405,0.046640748638622415,7270,0.06791990657515441,5039,0.0502938473595382,5703,0.05434389738304419,4865,0.03600420508845053,7376,0.05895977047496728,4700,0.02608452454607214,9127,0.017616666867995942,8665,0.007882744910311027,9622,0.08091991187700051,3053,0.023148167104645817,9252,0.007467068711578097,9629,0.005733867363719999,9690,0.08368177910641578,2828,0.03487126090895834,7329,0.00906412013943063,9509,0.0073635803108017955,9587,0.02886258736338878,8756,0.02468216942356541,8357,0.01251337758387323,9350,0.006954318055098099,9577,0.0767469304749216,3919,0.06476283929780953,5600,,
0.06677517801697042,3857,0.07422154116395334,3378,0.0693702440106008,4956,0.06512869379316641,4846,0.03690478896900975,7376,0.04432711193468423,7143,0.06572434184136042,5104,0.050284767423002814,5703,0.054194635966528924,4881,0.03527235214109503,7370,0.058663882705753005,4724,0.02573863077006246,9161,0.017394449947171126,8674,0.007383227087712421,9630,0.0807784936993095,3066,0.02279159602766036,9304,0.007904373041796331,9616,0.005439582416970443,9703,0.08366363813871436,2829,0.03370604050721811,7353,0.008849039929291388,9520,0.007379782350338369,9570,0.02751448856689382,8832,0.024233110376085998,8377,0.011692524385956627,9388,0.006735675826696082,9581,0.07624848727817152,3673,0.060899681641766054,5869,,
0.06836475562923797,3742,0.07237798984493077,3470,0.06885054576378391,4954,0.06501767632359695,4850,0.037852220848266185,7408,0.03998306831286992,7300,0.06460926816703992,5169,0.05015256040813454,5711,0.054266063045375686,4886,0.03501883819145823,7305,0.058489599119979876,4729,0.02559035590277086,9145,0.017544507200803895,8673,0.007078376334565616,9636,0.0807389821756749,3069,0.02225698188108627,9320,0.007089792422113905,9640,0.005208640243498135,9713,0.08349568116512836,2839,0.03268483261565698,7405,0.008616720907041587,9516,0.006963863330236843,9598,0.026668200034145877,8864,0.023868517162204204,8401,0.011282762254128848,9404,0.006300407753643637,9600,0.07321619910165675,3791,0.056212239205555695,6038,,
0.06707625189062309,3844,0.0736277687023415,3644,0.06850880727073275,4979,0.06494204011314235,4852,0.038341646724286776,7326,0.03928202842197241,7636,0.06414829819514466,5201,0.05002068982238475,5712,0.05392266602573561,4889,0.03494018792152615,7361,0.05827163748112584,4738,0.025335285250942603,9159,0.01718013655458314,8666,0.006666903615962015,9632,0.08061723619772578,3084,0.022004048354940173,9333,0.007021237022098806,9652,0.005126853705102471,9696,0.0834399582799201,2839,0.03199269487729482,7461,0.008478278658596551,9538,0.006742936764869018,9586,0.025554828802624024,8912,0.02343967362663608,8412,0.010574145869104304,9436,0.0064059562200536775,9594,0.07153376599126675,4049,0.05255433105832064,6433,,
0.06892178302009044,3887,0.0750624292452098,3268,0.06820002113367676,4970,0.06487099397336393,4854,0.037049665387624026,7413,0.03972375276132801,7734,0.06373750085418892,5217,0.04994064070826536,5701,0.05401571335946466,4883,0.036128300885654385,7274,0.05810264136642567,4747,0.02514013860097026,9164,0.017060205063431172,8670,0.006377403347991963,9639,0.07978653642829844,3286,0.021615831108699107,9351,0.006551124792093475,9662,0.004941987128770663,9713,0.0833159600443853,2857,0.031477644536742094,7478,0.008324835436463634,9521,0.006546139898014258,9604,0.025024790066942096,8935,0.023174820711781167,8425,0.010252516531405336,9460,0.005975249449716198,9612,0.06857608399235739,4243,0.04787384220513755,7048,,
0.06725533423788549,3912,0.07418252711013883,3600,0.06794726985667143,4984,0.06480244526724425,4850,0.03841905359743867,7448,0.042321916999409306,7651,0.06346894833028448,5243,0.04989492071104035,5709,0.05382734006017107,4889,0.03384611530459436,7315,0.057957352685464876,4752,0.02505198602739386,9173,0.01671539228153757,8672,0.006303384713503046,9656,0.07754616440751821,3614,0.021450995437535494,9390,0.006404758349357229,9658,0.00481407249560188,9715,0.0835663917705097,2831,0.02670484375398354,8174,0.008095219305246223,9534,0.006696440957680518,9603,0.02417370711201146,8955,0.022871997132900515,8440,0.009890025115787668,9470,0.005759494410542649,9605,0.06835146486915544,4404,0.043779329885494635,7428,,
0.06845014849829459,3719,0.0729127015211054,3502,0.06771604825527582,4993,0.06473208345103178,4856,0.038809938643815406,7370,0.041862830193731236,7580,0.06322759339108895,5269,0.04995587232171997,5704,0.05409345615949584,4882,0.0339553506963535,7356,0.05788715507715411,4761,0.024869519483441547,9176,0.016728456835791557,8674,0.00601943966611241,9656,0.07645535441161126,3743,0.02118715714192485,9387,0.00612212671127336,9671,0.005054883094102849,9706,0.08319013946673152,2859,0.024290645906640266,8300,0.007963365132395393,9542,0.0063345644833432335,9613,0.023436817258768814,8964,0.02252743510648421,8450,0.009569994579166102,9495,0.005772983530633715,9597,0.06735485615599966,4586,0.03879745959256205,7564,,
0.06804957253052199,3776,0.07351042166400926,3429,0.06751772131094867,4995,0.06471425027758435,4853,0.03700171880557551,7408,0.042772477370555353,7713,0.06293364354530574,5292,0.04988568672996123,5700,0.05378345043988039,4882,0.03442342068929683,7299,0.05777380807882062,4774,0.024929427974489528,9172,0.016527961500591097,8671,0.005705678164658182,9657,0.07341330783396259,4201,0.021126251550051184,9395,0.006152710946261828,9681,0.004321735771205197,9715,0.0832600377451068,2868,0.02332716354057404,8338,0.007904490763893136,9527,0.006490617102650937,9597,0.022830402868135865,8992,0.022257842169250107,8463,0.009130751611604466,9522,0.005516486524830748,9609,0.06532775318203848,4819,0.03637316995472379,7635,,
0.06814235146046158,3782,0.07404016344505326,3576,0.06736145700176469,5007,0.0646974698546143,4853,0.03723892500412433,7424,0.04328243109094267,7667,0.06268105772516637,5313,0.04982796796273914,5700,0.05372701170169505,4887,0.03419415785570742,7368,0.05763152311773836,4781,0.024724747472137227,9177,0.01637208917763403,8672,0.005826430279263988,9651,0.0712400392070673,4369,0.020809712480361103,9431,0.005780747076082976,9684,0.00433549746415291,9709,0.08309185245140192,2878,0.022651526547961914,8357,0.0076278629716638,9551,0.006157274235018674,9618,0.022310220842323168,9005,0.021989163131878996,8475,0.009019777968503673,9523,0.005320229862131608,9633,0.06358202414991558,5037,0.03540911532817135,7692,,
0.07012298979115276,3751,0.07397067322033676,3365,0.06720086681826427,4952,0.0646071737175726,4857,0.038034780079024375,7392,0.04666342177648019,7368,0.06244491926748347,5347,0.049694378686460774,5704,0.05365389967862072,4901,0.034368629157168845,7279,0.057509354500288976,4794,0.02461488318391605,9206,0.016239261976210652,8682,0.005547236103679387,9660,0.07003904648270758,4488,0.020606220127625238,9423,0.005891910446642865,9690,0.004161101490284909,9719,0.08327678276756104,2854,0.022222847793233736,8392,0.007577293977679817,9533,0.006110211385130429,9599,0.021837830941953986,9029,0.021683761586344098,8491,0.00865359310937944,9524,0.005186208716662438,9617,0.06185040131799115,5159,0.0345260997419205,7742,,
0.0681925993033961,3792,0.075212804206585,3345,0.06703311141206748,4968,0.06458980057246336,4854,0.03729691214847622,7386,0.04752611406486256,7440,0.062260149316843975,5366,0.04968596097772375,5713,0.05369588770922973,4881,0.03407614849776218,7375,0.057427259604113934,4799,0.02463327469100107,9200,0.016346877245801503,8682,0.005276339375364831,9671,0.0691160500524698,4570,0.020483924126089768,9444,0.005555368923464864,9693,0.004135190842714925,9732,0.08305308965201964,2881,0.02167102223354973,8391,0.007542940372088498,9542,0.005994055847471902,9611,0.021451264173254443,9030,0.02147926901251195,8501,0.008429998733138629,9547,0.005174581842380115,9631,0.060349605208736536,5414,0.03404492847334228,7779,,
0.07042370291897125,3592,0.07592960370666775,3385,0.06690577665458058,4970,0.06454641436709618,4867,0.03954009937166851,7427,0.045253744012526534,7573,0.06208566756004994,5377,0.0497747031083352,5713,0.05345019762752234,4890,0.035561721806957124,7337,0.057337969513266605,4798,0.024411871664101668,9208,0.01600946096853255,8683,0.0052803168419359005,9671,0.0688277478880363,4668,0.020453413662947763,9448,0.005467606526097939,9689,0.003946334529688898,9722,0.08280070136224887,2877,0.02132785163869478,8407,0.0073470884952704625,9552,0.006042562736894283,9597,0.02071829868908025,9046,0.021231275003431697,8524,0.00825190380821472,9543,0.0050673754481222145,9624,0.058569288876511146,5873,0.03356029246566553,7823,,
0.0689349312811542,3771,0.07667016977950544,3517,0.06678349804949787,4943,0.06453538221107546,4864,0.03788669444250412,7404,0.04971556708905652,7579,0.06194679827226355,5388,0.04985331231209855,5698,0.053368696162348,4875,0.03475232834568724,7279,0.05724811149149795,4807,0.02428542700495615,9216,0.015868428198369696,8691,0.005294933477674879,9679,0.06814452859836899,4695,0.02016160333520244,9451,0.005607707698006119,9679,0.003922089577277782,9736,0.08292330454118753,2877,0.021035546454188665,8418,0.007170425133361808,9538,0.006000760635504227,9613,0.02007448273368561,9058,0.021028108295379044,8523,0.007991749623000841,9537,0.005195121207582869,9617,0.05650933607298147,5967,0.03273046872300908,7923,,
0.07247994018447058,3420,0.07629765820314181,3398,0.06665026269062571,4997,0.06448856333686265,4867,0.03929755702648174,7423,0.04756128374870999,7364,0.061770131834452686,5401,0.04965368114763447,5706,0.05337379451053714,4889,0.0347633384948202,7258,0.05718270357235856,4815,0.024354192568543275,9208,0.015863154658011056,8694,0.005214514471302015,9665,0.06695472611754737,4837,0.020005434382679866,9464,0.005303130180250864,9679,0.0038085034633344077,9726,0.08267188190833001,2890,0.020757345178736324,8429,0.007079289943286895,9542,0.005796363903259899,9615,0.019465003034607818,9062,0.020851376839147843,8535,0.007864890312135301,9562,0.005075674612711835,9628,0.05369029949412877,6041,0.03214085356442929,7999,,
0.06571979175907396,4530,0.07696466699251486,3491,0.06653523223050488,5068,0.06445973999524013,4865,0.03791943030787477,7409,0.04980001765919936,7194,0.061554885777866004,5428,0.04962428093559087,5715,0.05384437307446139,4882,0.034991999572649306,7374,0.05711667362450081,4813,0.02417391167110896,9221,0.015885184221538402,8672,0.004971621569537128,9670,0.06231875058322559,4933,0.01994065892283072,9459,0.005157336689575173,9691,0.0038323426314665976,9711,0.08250954006876729,2918,0.020477761523757146,8438,0.006954295608548645,9557,0.005859438295984819,9593,0.018853628404892037,9070,0.0206591425206653,8537,0.007650985848825792,9560,0.004711420765660401,9630,0.05138917937781703,6111,0.03182191453750055,7993,,
0.06997768470344971,3719,0.07570456017067366,3336,0.06645881969083614,5089,0.06443922375572289,4873,0.037075717495550206,7358,0.04805650302188583,7044,0.0613833450607827,5451,0.049672574098011936,5703,0.053101048406263,4896,0.03394828089724865,7407,0.05707534213891142,4814,0.024133337037198516,9226,0.01574263539712371,8691,0.0048748437438255006,9674,0.05955309794846922,4973,0.019785087281735586,9472,0.005201531945309872,9697,0.0035269739232614153,9727,0.08263525587734376,2914,0.0201593380937452,8452,0.00691071067634094,9546,0.005808734274583462,9584,0.018446221708606426,9080,0.02051452934927971,8548,0.007770486532612215,9557,0.004689517720892519,9626,0.04980259133267831,6274,0.03144478199736704,8012,,
