Parameter,Value
Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.01
Accuracy,6338 / 10000

Epoch,Cost,Accuracy
3,3.682796735718133,1379
4,3.5540115297665267,1988
5,3.4328042093587294,2361
6,3.327259893344703,2554
7,3.2307327888828143,3060
8,3.1362307654424035,3479
9,3.0628077923491768,3586
10,3.0014141977577085,3729
11,2.9328353240444662,3848
12,2.8650965488127027,3987
13,2.7975364875529696,4137
14,2.740141766029461,4369
15,2.6759430357075873,4485
16,2.617579067184814,4694
17,2.547988138305974,4792
18,2.4993837042533196,4851
19,2.4451095026695144,5000
20,2.3805722174387802,5116
21,2.3121322912935525,5190
22,2.261547926703856,5636
23,2.2162326919007187,5800
24,2.1870704967737127,5776
25,2.1448437088100185,6017
26,2.102662645484419,6131
27,2.064510505238983,6206
28,2.025507901120167,6290
29,2.006700146317835,6377
