Parameter,Value
Input Neurons,784
Hidden Neurons,[30]
Output Neurons,10
Epochs,30
Mini Batch Size,10
Learning Rate,0.001
Accuracy,9078 / 10000

Epoch,Cost,Accuracy
4,0.07067890191428812,4691
5,0.05862786397581108,5962
6,0.05523982911318747,6262
7,0.05384180657746534,6367
8,0.046743717710827686,7213
9,0.040539589501058744,7888
10,0.03650200839598555,8141
11,0.034477849192791794,8254
12,0.03346094349686947,8328
13,0.032585579040773235,8350
14,0.03196111832254462,8361
15,0.03146920354524288,8398
16,0.031119672190265533,8416
17,0.030807672320704974,8440
18,0.030447608793932296,8445
19,0.03026976148986637,8444
20,0.02984530754984011,8474
21,0.029739310256789827,8481
22,0.02941649894489048,8494
23,0.02921730891946567,8491
24,0.029124795439550107,8501
25,0.02890378609917645,8491
26,0.028652674424707838,8511
27,0.02856794986784027,8521
28,0.0284087252652204,8529
29,0.028283378202911696,8537
